k,S(k)
1.414213562373095034e-01,1.209352618047887518e-10
4.242640687119285103e-01,0.000000000000000000e+00
7.071067811865474617e-01,0.000000000000000000e+00
9.899494936611665796e-01,5.891153644543280734e+02
1.272792206135785475e+00,0.000000000000000000e+00
1.555634918610404593e+00,4.765609787308520140e+02
1.838477631085023489e+00,0.000000000000000000e+00
2.121320343559642829e+00,3.474311526056087587e+02
2.404163056034261281e+00,0.000000000000000000e+00
2.687005768508880621e+00,0.000000000000000000e+00
2.969848480983499517e+00,2.490611770662452500e+02
3.252691193458118413e+00,2.295807604551313261e+02
3.535533905932737753e+00,1.913507058792685598e+02
3.818376618407356649e+00,0.000000000000000000e+00
4.101219330881975544e+00,1.652792525342857175e+02
4.384062043356594884e+00,1.419732430510307495e+02
4.666904755831213336e+00,0.000000000000000000e+00
4.949747468305832676e+00,1.210317725907445379e+02
5.232590180780452016e+00,1.267610223259469535e+02
5.515432893255070468e+00,1.111547002025537836e+02
5.798275605729688920e+00,9.753733272108611629e+01
6.081118318204309148e+00,1.004379043042064694e+02
6.363961030678927600e+00,8.406702508794050743e+01
6.646803743153546051e+00,7.744771059532629920e+01
6.929646455628166279e+00,8.335610534668444416e+01
7.212489168102784731e+00,7.627094928703824905e+01
7.495331880577403183e+00,6.919827951935187116e+01
7.778174593052023411e+00,6.210431012448747623e+01
8.061017305526641863e+00,6.930287893600230120e+01
8.343860018001260315e+00,7.047044322072486011e+01
8.626702730475880543e+00,5.797426496907312554e+01
8.909545442950498995e+00,6.136543435474697361e+01
9.192388155425117446e+00,6.188513707711533129e+01
9.475230867899735898e+00,5.528857109183202567e+01
9.758073580374356126e+00,5.321306107241498751e+01
1.004091629284897458e+01,5.414415787679406122e+01
1.032375900532359481e+01,5.530390138893002216e+01
1.060660171779821326e+01,4.241010364699256030e+01
1.088944443027283171e+01,4.799554607001409323e+01
1.117228714274745016e+01,4.797200285935402064e+01
1.145512985522206861e+01,4.131777814205758403e+01
1.173797256769668884e+01,4.296156629202604904e+01
1.202081528017130729e+01,3.949394094967131252e+01
1.230365799264592752e+01,3.996561582153570669e+01
1.258650070512054597e+01,0.000000000000000000e+00
1.286934341759516442e+01,3.987469712276831046e+01
1.315218613006978288e+01,0.000000000000000000e+00
1.343502884254440310e+01,3.655700001273438460e+01
1.371787155501902156e+01,0.000000000000000000e+00
1.400071426749364178e+01,0.000000000000000000e+00
