T,C_per_site
2.999999999999999889e-01,1.681444166667158124e-01
3.545454545454545525e-01,2.661595075607057215e-01
4.090909090909091161e-01,4.023470339505073046e-01
4.636363636363636243e-01,5.531210871779036475e-01
5.181818181818181879e-01,6.725757906279871134e-01
5.727272727272727515e-01,7.972025018267597796e-01
6.272727272727273151e-01,6.961657294160407128e-01
6.818181818181818787e-01,4.775921841778643095e-01
7.363636363636364424e-01,3.741938877838568156e-01
7.909090909090910060e-01,3.053519487382366782e-01
8.454545454545454586e-01,2.754510333853603665e-01
9.000000000000000222e-01,2.197892561728588545e-01
