T,E_per_site
2.999999999999999889e-01,-9.426249795918367758e-01
3.545454545454545525e-01,-9.333975510204082227e-01
4.090909090909091161e-01,-9.181711020408164226e-01
4.636363636363636243e-01,-8.941286530612245764e-01
5.181818181818181879e-01,-8.551541224489794812e-01
5.727272727272727515e-01,-8.033844897959183662e-01
6.272727272727273151e-01,-7.544421224489795685e-01
6.818181818181818787e-01,-7.191400816326530832e-01
7.363636363636364424e-01,-6.927686530612244820e-01
7.909090909090910060e-01,-6.728272653061224684e-01
8.454545454545454586e-01,-6.559224489795918434e-01
9.000000000000000222e-01,-6.425590204081632617e-01
