# k,S(k)
3.535533905932737864e-01,2.929084530478576198e-09
1.060660171779821415e+00,2.407375766116369632e+05
1.767766952966368876e+00,1.780803403215260914e+04
2.474873734152916782e+00,7.137114898004127099e+03
3.181980515339463800e+00,6.003076915095228287e+03
3.889087296526011706e+00,1.768175867747376060e+03
4.596194077712558723e+00,1.273496220472775349e+03
5.303300858899106629e+00,9.762116246794988683e+02
6.010407640085654535e+00,6.620140847554796437e+02
6.717514421272202441e+00,4.673672257902267120e+02
7.424621202458749458e+00,3.938620549593074998e+02
8.131727983645298252e+00,3.029262159823614411e+02
8.838834764831844382e+00,2.468467441984772677e+02
9.545941546018392287e+00,2.169594377818669386e+02
1.025304832720494019e+01,1.859100820101758416e+02
1.096015510839148632e+01,1.558735530013240123e+02
1.166726188957803600e+01,1.392703004674411602e+02
1.237436867076458213e+01,1.261843794217599992e+02
1.308147545195113004e+01,1.131796463713796754e+02
1.378858223313767795e+01,1.009801348767208253e+02
1.449568901432422408e+01,9.455426700973248444e+01
1.520279579551077376e+01,8.866105285684334092e+01
1.590990257669731989e+01,8.092018859770981010e+01
1.661700935788386602e+01,7.369756024088819402e+01
1.732411613907041570e+01,7.456689725618034004e+01
1.803122292025696538e+01,6.743980034848091520e+01
1.873832970144351151e+01,6.589184930522952754e+01
1.944543648263005764e+01,6.242261288022248777e+01
2.015254326381660377e+01,6.098627887551185012e+01
2.085965004500315345e+01,5.780541736788327256e+01
2.156675682618970313e+01,5.490508082642590892e+01
2.227386360737624926e+01,5.451793164704485406e+01
2.298097038856279539e+01,5.252485680268308244e+01
2.368807716974934152e+01,5.176025533607602824e+01
2.439518395093589120e+01,5.056327332508175942e+01
2.510229073212244089e+01,4.799448474088189442e+01
2.580939751330898702e+01,4.474984646327121141e+01
2.651650429449553314e+01,4.107070673673126038e+01
2.722361107568207927e+01,3.948274392570019131e+01
2.793071785686862896e+01,3.739269297525364522e+01
2.863782463805517864e+01,3.625549162140819703e+01
2.934493141924172477e+01,3.458508875122158344e+01
3.005203820042827090e+01,3.486499742090576603e+01
3.075914498161481703e+01,3.369797116524725311e+01
3.146625176280136671e+01,3.417575909739225892e+01
3.217335854398791639e+01,3.246865341599807664e+01
3.288046532517446252e+01,3.332679875246454060e+01
3.358757210636100865e+01,3.220733762450034021e+01
3.429467888754756189e+01,3.278026188074310454e+01
3.500178566873410091e+01,3.214142050603397394e+01
