r,g(r)
3.535533905932737309e-01,1.285581123520978419e+00
1.060660171779821193e+00,1.159151454445262575e+00
1.767766952966368654e+00,1.205006755465662938e+00
2.474873734152915894e+00,8.083403586035708965e-01
3.181980515339463800e+00,1.199982327829592244e+00
3.889087296526010817e+00,1.193336382568262133e+00
4.596194077712558723e+00,5.992204329757007120e-01
5.303300858899105741e+00,1.201023738537248642e+00
6.010407640085653647e+00,1.203404965122145009e+00
6.717514421272200664e+00,6.709974861514638178e-01
7.424621202458748570e+00,1.090991226978231587e+00
8.131727983645294699e+00,9.948174744597517716e-01
8.838834764831844382e+00,1.016306001316309660e+00
9.545941546018390511e+00,9.405764333765058716e-01
1.025304832720493664e+01,1.050709512888172048e+00
1.096015510839148632e+01,1.064752802701782963e+00
1.166726188957803245e+01,7.692823795295533618e-01
1.237436867076458213e+01,1.160495355992549715e+00
1.308147545195112826e+01,1.097793016899613505e+00
1.378858223313767439e+01,8.461999722040788319e-01
1.449568901432422408e+01,9.287750959154493779e-01
1.520279579551077020e+01,1.121735603645338308e+00
1.590990257669731811e+01,1.015466083700346633e+00
1.661700935788386602e+01,7.563662387014307154e-01
1.732411613907041215e+01,1.140064093427013869e+00
1.803122292025695828e+01,1.045538156479388858e+00
1.873832970144350796e+01,9.581558335308230090e-01
1.944543648263005409e+01,1.015580049194606538e+00
2.015254326381660377e+01,9.798016106866895836e-01
2.085965004500314990e+01,1.075580614486665976e+00
2.156675682618969603e+01,7.906885855585852330e-01
2.227386360737624571e+01,1.168272661911998966e+00
2.298097038856279184e+01,1.015161171116293781e+00
2.368807716974934152e+01,8.712632002260496389e-01
2.439518395093588765e+01,1.140097457222863264e+00
2.510229073212243378e+01,7.327120456096244405e-01
2.580939751330898346e+01,7.648229423349461875e-01
2.651650429449552959e+01,5.414719957745928181e-01
2.722361107568207927e+01,4.945208168867151755e-01
2.793071785686862540e+01,3.856404499360222005e-01
2.863782463805517153e+01,3.761479499115143454e-01
2.934493141924171766e+01,3.059258942558365502e-01
3.005203820042826734e+01,2.390110692025712025e-01
3.075914498161481347e+01,2.043401033510433562e-01
3.146625176280136316e+01,1.711766865811712446e-01
3.217335854398790929e+01,1.394991770672281972e-01
3.288046532517445542e+01,1.092012249927206136e-01
3.358757210636100865e+01,8.018492256368696391e-02
3.429467888754754767e+01,5.235032015472407263e-02
3.500178566873410091e+01,2.564302290001550452e-02
