k,S(k)
3.535533905932737864e-01,4.062682176833881729e-27
1.060660171779821415e+00,9.969806695201355978e+03
1.767766952966368876e+00,8.185071181554230861e+03
2.474873734152916782e+00,7.146187534030358620e+03
3.181980515339463800e+00,5.274961572673761111e+03
3.889087296526011706e+00,3.945943267426443981e+03
4.596194077712558723e+00,3.309046815367559248e+03
5.303300858899106629e+00,2.744123519635998036e+03
6.010407640085654535e+00,2.137216000891158728e+03
6.717514421272202441e+00,1.829628328327843974e+03
7.424621202458749458e+00,1.583357021452554818e+03
8.131727983645298252e+00,1.326518469404501502e+03
8.838834764831844382e+00,1.154593057036398250e+03
9.545941546018392287e+00,1.017991014283535378e+03
1.025304832720494019e+01,9.080558520081076495e+02
1.096015510839148632e+01,7.996205599646375504e+02
1.166726188957803600e+01,7.289931744348496068e+02
1.237436867076458213e+01,6.666778980233330003e+02
1.308147545195113004e+01,6.078894759911830761e+02
1.378858223313767795e+01,5.591243585233612521e+02
1.449568901432422408e+01,5.225102869375973569e+02
1.520279579551077376e+01,4.915113899463720486e+02
1.590990257669731989e+01,4.530014054904700060e+02
1.661700935788386602e+01,4.152826948101795779e+02
1.732411613907041570e+01,4.099382867956569498e+02
1.803122292025696538e+01,3.807624209242442817e+02
1.873832970144351151e+01,3.668022073801064948e+02
1.944543648263005764e+01,3.473084865546913989e+02
2.015254326381660377e+01,3.415540934486368201e+02
2.085965004500315345e+01,3.230045061707646710e+02
2.156675682618970313e+01,3.083133490521250337e+02
2.227386360737624926e+01,3.087421099304103791e+02
2.298097038856279539e+01,2.956565220706919490e+02
2.368807716974934152e+01,2.884011003400270283e+02
2.439518395093589120e+01,2.835303435591895891e+02
2.510229073212244089e+01,2.711971045457150922e+02
2.580939751330898702e+01,2.508021907082060693e+02
2.651650429449553314e+01,2.335685288947317986e+02
2.722361107568207927e+01,2.215877505388745021e+02
2.793071785686862896e+01,2.129753972174155763e+02
2.863782463805517864e+01,2.039169628823083258e+02
2.934493141924172477e+01,1.993776938576607733e+02
3.005203820042827090e+01,1.960586820022259360e+02
3.075914498161481703e+01,1.905007127686668582e+02
3.146625176280136671e+01,1.840881258849291839e+02
3.217335854398791639e+01,1.879310021253621414e+02
3.288046532517446252e+01,1.819253860209153686e+02
3.358757210636100865e+01,1.821493786789205842e+02
3.429467888754756189e+01,1.847670158422972690e+02
3.500178566873410091e+01,1.762904801068361280e+02
